title,rating,year,quote
遗愿清单,8.7,2007,
大佛普拉斯,8.7,2017,
源代码,8.6,2011,
花束般的恋爱,8.6,2021,
疯狂的麦克斯4：狂暴之路,8.7,2015,
白日梦想家,8.6,2013,
可可西里,8.9,2004,
你看起来好像很好吃,8.9,2010,
贫民窟的百万富翁,8.6,2008,
爱乐之城,8.4,2016,
波西米亚狂想曲,8.6,2018,
城市之光,9.3,1931,
爆裂鼓手,8.6,2014,
东邪西毒,8.6,1994,
青蛇,8.6,1993,
哈利·波特与死亡圣器(上),8.6,2010,
无耻混蛋,8.7,2009,
终结者2：审判日,8.8,1991,
大红灯笼高高挂,8.8,1991,
黑天鹅,8.6,2010,
新龙门客栈,8.7,1992,
初恋这件小事,8.5,2010,
人工智能,8.7,2001,
千钧一发,8.8,1997,
崖上的波妞,8.6,2008,
雨人,8.7,1988,
虎口脱险,8.9,1966,
哈利·波特与凤凰社,8.6,2007,
彗星来的那一夜,8.6,2013,
罗生门,8.8,1950,
海边的曼彻斯特,8.6,2016,
恋恋笔记本,8.5,2004,
真爱至上,8.5,2003,
火星救援,8.5,2015,
黑客帝国2：重装上阵,8.7,2003,
步履不停,8.8,2008,
冰雪奇缘,8.5,2013,
奇迹男孩,8.6,2017,
千年女优,8.8,2001,
战争之王,8.7,2005,
谍影重重2,8.7,2004,
蜘蛛侠：平行宇宙,8.6,2018,
攻壳机动队,9.0,1995,
血钻,8.7,2006,
小姐,8.5,2016,
隐藏人物,8.9,2016,
魂断蓝桥,8.8,1940,
血观音,8.6,2017,
房间,8.7,2015,
